track_id,artists,album_name,track_name
4iObEYRE4FLm0D90gmZFef,Thomas Daniel,Since U Been Gone,Since U Been Gone - Acoustic Version
3rzRo91l4htQvMXhsiECAX,Todd Carey;Ariza;Chuck Leavell,Higher Love,Higher Love
4vAnqYqm1DOo5IDVcxORX3,Canyon City,How Long Will I Love You,How Long Will I Love You
13GvSZgg9LOs3M9uGbWsPE,Aron Wright,You Were Supposed to Be Different,You Were Supposed to Be Different
4cR4nao0hqqBtklQmGVqbe,Boyce Avenue,"Cover Sessions, Vol. 3",Thinking out Loud
4x7AdVDV9IFWp8pg4LMz90,Jonah Baker,Covers,Perfect / Style
7aohwSiTDju51QmC54AUba,Ingrid Michaelson,Be OK,You And I
5MrgVJzR1du1gz8XWe4m28,Landon Pigg,Coffee Shop,Falling in Love at a Coffee Shop
5auMzVHFr5Zfw6IbKarZ56,Anna Nalick,Wreck of the Day,Breathe (2 AM)
2h3VsZVKQeT0yLNQtCIRjn,Jonah Baker,Girls Like You (Acoustic Version),Girls Like You - Acoustic Version
14NiShC5b46yQxBN1mu9VJ,Andrew Foy;Renee Foy,Heartbreak Anniversary,Heartbreak Anniversary
3DyhwZyBFedvnt68fMi6vf,Tyler Ward;Karis;Ray Lorraine,One More Time Around,One More Time Around

5e9DrLUUZraUE7mmniufjn,Zack Tabudlo,Episode,Heart Can’t Lose
2z3HKlpENvfz1Am2MNF2pL,Donovan Woods;Tenille Townes,The Other Way,I Ain't Ever Loved No One - Acoustic
33JX2be3eKVhl5xk8YQhVc,Ray LaMontagne,Till The Sun Turns Black,Empty
29Ns3avs48iQhNQgrHMEkm,Megan Davies,"See You Again, Love Me Like You Do, Sugar (Acoustic Mashup)","See You Again, Love Me Like You Do, Sugar - Acoustic Mashup"
2XDxQ3VzovLzh60zgOaNEi,Tim Halperin,Covers,The Reason
0J4sK2VO75cRSVoj0FokQn,Canyon City,Refuge,Fix You
7bpR5j22mNID1pXwgRcZP1,JJ Heller,Hand to Hold,Hand to Hold
1U1GtaJeYwGsPgqV9Me5bb,Ray LaMontagne,Trouble,Hold You in My Arms
1jkBuvWI9IGEz9thXiKOlP,Joshua Hyslop,In Deepest Blue (Bonus Track Version),The Spark - Bonus Track
7K36drJq6lInkW6Kkojucp,Drew Holcomb & The Neighbors,Medicine,American Beauty
4PuUa8e5s7P3Zv1IdCGIsa,Ray LaMontagne,Part Of The Light,Such A Simple Thing
72SPsHheqN6J3sI520jT9E,Amos Lee,Amos Lee,Colors
03VNgdCL9t8aPyvwZecglI,Jason Mraz;Meghan Trainor,Know.,More Than Friends (feat. Meghan Trainor)
3M6NL7PxIDZ3ArfPrBUTUP,Days N Daze,Show Me the Blueprints.,Flurry Rush
