track_id,artists,track_name
3tjFYV6RSFtuktYl3ZtYcq,24kGoldn,Mood (feat. iann dior)
0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights
0t1kP63rueHleOhQkYSXFY,BTS,Dynamite
7ytR5pFWmSjzHJIeQkgog4,DaBaby,ROCKSTAR (feat. Roddy Ricch)
0PvFJmanyNQMseIFrU708S,Pop Smoke,For The Night (feat. Lil Baby & DaBaby)
2SAqBLGA283SUiwJ3xOUVI,Drake,Laugh Now Cry Later (feat. Lil Durk)
4uoR6qeWeuL4Qeu2qJzkuG,Maluma,Haw??i
02kDW379Yfd5PzW5A6vuGt,Internet Money,Lemonade
1xQ6trAsedVPCdbtDAmk0c,Jawsh 685,Savage Love (Laxed - Siren Beat)
6cx06DFPPHchuUAcTxznu9,Joel Corry,Head & Heart (feat. MNEK)
4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather
5u1n1kITHCxxp8twBcZxWy,Justin Bieber,Holy (feat. Chance The Rapper)
45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first
0EhpEsp4L0oRGM0vmeaN5e,J Balvin,UN DIA (ONE DAY) (Feat. Tainy)
6EDO9iiTtwNv6waLwa1UUq,DJ Khaled,POPSTAR (feat. Drake)
3H7ihDc1dqLriiWXwsc2po,Topic,Breaking Me
5rZlwNFl01HqLWBQGryKSm,Pop Smoke,Mood Swings (feat. Lil Tjay)
7eJMfftS33KTjuF7lTsMCx,Powfu,death bed (coffee for your head)
2MbdDtCv5LUVjYy9RuGTgC,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix"
2Y0wPrPQBrGhoLn14xRYCG,Juice WRLD,Come & Go (with Marshmello)
1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love
2U5WueTLIK5WJLD7mvDODv,Juice WRLD,Wishing Well
1IIKrJVP1C9N7iPtG6eOsK,Chris Brown,Go Crazy
27ycaQnQAxaPiyeg3nr2aB,Miley Cyrus,Midnight Sky
59qrUpoplZxbIZxk6X0Bm3,Jason Derulo,Take You Dancing
2XU0oxnq2qxCpomAAuJY8K,Tones And I,Dance Monkey
62aP9fBQKYKxi7PDXwcUAS,Surf Mesa,ily (i love you baby) (feat. Emilee)
7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved
35RJhm1pEovTBwnNR0zWad,DJ Khaled,GREECE (feat. Drake)
4HBZA5flZLE435QTztThqH,Ariana Grande,Stuck with U (with Justin Bieber)
21jGcNKet2qwijlDFuPiPb,Post Malone,Circles
1H7KnK26kc1YyellpbINEn,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch)
2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories
0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box
2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy
5KCbr5ndeby4y4ggthdiAb,Shawn Mendes,Wonder
7k4t7uLgtOxPwTpFmtJNTY,KAROL G,Tusa
7aGyRfJWtLqgJaZoG9lJhE,salem ilese,Mad at Disney
3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM
6N22FZs2ZhPBYi3b9XPajV,Labrinth,Still Don't Know My Name
24ySl2hOPGCDcxBxFIqWBu,Lady Gaga,Rain On Me (with Ariana Grande)
6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,Robbery
6AGOKlMZWLCaEJGnaROtF9,Ritt Momney,Put Your Records On
6wQlQrTY5mVS8EGaFZVwVF,Juice WRLD,Smile (with The Weeknd)
5RqR4ZCCKJDcBLIn4sih9l,StaySolidRocky,Party Girl
3Z8FwOEN59mRMxDCtb8N0A,Marshmello,Be Kind (with Halsey)
7ce20yLkzuXXLUhzIDoZih,Lewis Capaldi,Before You Go
