track_id,artists,track_name,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,lyrics,tags,mood
285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,,,,,,,,,,,"I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you so I must replace you (oh)
Easier said than done
I thought you were the one

Listening to my heart instead of my head

You found another one, but

I am the better one

I won't let you forget me

I still see your shadows in my room

Can't take back the love that I gave you

It's to the point where I love and I hate you

And I cannot change you so I must replace you (oh)

Easier said than done

I thought you were the one

Listening to my heart instead of my head

You found another one, but

I am the better one

I won't let you forget me



You left me falling and landing inside my grave

I know that you want me dead (cough)

I take prescriptions to make me feel a-okay

I know it's all in my head



I have these lucid dreams where I can't move a thing

Thinking of you in my bed

You were my everything

Thoughts of a wedding ring

Now I'm just better off dead (coughs)

I'll do it over again

I didn't want it to end

I watch it blow in the wind

I should've listened to my friends

Did this shit in the past

But I want it to last

You were made outta plastic (fake)

I was tangled up in your drastic ways

Who knew evil girls have the prettiest face

You gave me a heart that was full of mistakes

I gave you my heart and you made heart break



You made my heart break

You made my heart ache (I still see your shadows in my room)

You made my heart break

You made my heart ache (can't take back the love that I gave you)

You made my heart break (were made outta plastic fake)

You made my heart ache (I still see your shadows in my room)

You made my heart break again (I was tangled up your drastic ways)

(Who knew evil girls have the prettiest face?)



I still see your shadows in my room

Can't take back the love that I gave you

It's to the point where I love and I hate you

And I cannot change you so I must replace you (oh)

Easier said than done

I thought you were the one

Listening to my heart instead of my head

You found another one, but

I am the better one

I won't let you forget me

I still see your shadows in my room

Can't take back the love that I gave you

It's to the point where I love and I hate you

And I cannot change you so I must replace you (oh)

Easier said than done

I thought you were the one

Listening to my heart instead of my head

You found another one, but

I am the better one

I won't let you forget me



Did this shit in the past but I want it to last

You were made outta plastic (fake)

I was tangled up in your drastic ways

Who knew evil girls have the prettiest face?



Easier said than done

I thought you were the one

(Instead of my head)

I won't let you forget me","MySpotigramBot, emo rap, hip hop, Hip-Hop, rap, trap, 2018, Juice WRLD, pop, 2010s, emo, american, rnb, pop rap, -1001747063611, -1001854528204, chill, Awesome, melodic, male vocalists, funny, Favorite, sting, broken heart, electronica influences, autotune, cloud rap, clear pronunciation, danceable beats, syncopated beats, use of call-and-response vocals, backbeat handclaps, radio friendly stylings, southern rap roots, consistent rhyme patterns, rnb influences, ambient synth textures, subtle use of noise effects, the use of chordal patterning, a repetitive song structure, production and lyrics by respected rap artists, f sharp minor, acoustic guitar pickin, a bumpin kick sound, The heavy use of RNB samples, 2010s rap, 21st century in music, 2010s in music, -1001249840520, -1001333387036, -1001272436819, -1001819731063",calm
0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,,,,,,,,,,,"I don't want a friend (just me)
I want my life in two (my life in two)
Waiting to get there
Waiting for you (waiting for you)
When I'm around slow dancing in the dark

Don't follow me, you'll end up in my arms

You have made up your mind

I don't need no more signs

Can you?

Can you?



Give me reasons we should be complete

You should be with him, I can't compete

You looked at me like I was someone else, oh well

Can't you see? (can’t you see?)

I don't wanna slow dance (I don't want to slow dance)

In the dark

Dark



When you gotta run

Just hear my voice in you (my voice in you)

Shutting me out of you (shutting me out of you)

Doing so great (so great, so great)

You



Used to be the one to hold you when you fall

Yeah, yeah, yeah (when you fall, when you fall)

I don't fuck with your tone (I don't fuck with your tone)

I don't wanna go home (I don't wanna go home)

Can it be one night?

Can you?

Can you?



Give me reasons we should be complete

You should be with them, I can't compete

You looked at me like I was someone else, oh well

Can't you see?

I don't wanna slow dance (I don't want to slow dance)

In the dark

Dark

In the dark

Dark","alternative rnb, MySpotigramBot, joji, indie, soul, ambient pop, rnb, chillstep, future bass, Hip-Hop, electronic, chill, alternative, alternative rock, rap, sexy, sad, slow, soft rock, minimal, beautiful, industrial rock, r&b, arctic monkeys, pop punk, lofi, glam rock, Ballad, alt-pop, art pop, cloud rap, lo-fi hip-hop, Sad rap, Darkness and Light, pop punk rap, YAS QUEEN, 2018 single, -1001190477876, -1001333387036, -1001819731063, -1001854528204, Joji eu te amo",sad
6foY66mWZN0pSRjZ408c00,Morgan Wallen,Whiskey Glasses,,,,,,,,,,,"Pour me, pour me another drink
Cause I don't wanna feel a thing
No more, hell no
I just wanna sip it til the pain wears off
Pour me, pour me another round

Line'em up and knock'em down

two more, let's go

cause I ain't never hurt like this before



Don't wanna think about her, or wear a ring without her

Don't wanna hit the karaoke bar, can't sing without her

So make them drinks strong, cause brother she's gone

And if I'm ever gonna move on



I'ma need some whiskey glasses

Cause I don't wanna see the truth

She's probly makin' out on the couch right now with someone new

Yea I'ma need some whiskey glasses

If I'm gonna make it through

If I'ma be single I'ma need a double shot of that heartbreak proof

And see the world through whiskey glasses

See the world through whiskey glasses



Last call, I swear this'll be my last call

Now I ain't drunk dialin' no more at 3am

Mr. Bartender hit me again



Don't wanna think about her, or wear a ring without her

Don't wanna hit the karaoke bar, can't sing without her

So make them drinks strong, cause brother she's gone

And if I'm ever gonna move on



I'ma need some whiskey glasses

Cause I don't wanna see the truth

She's probly makin' out on the couch right now with someone new

Yea I'ma need some whiskey glasses

If I'm gonna make it through

If I'ma be single I'ma need a double shot of that heartbreak proof

And see the world through whiskey glasses

Oh see the world through whiskey glasses, yeah



Line'em up, line'em up, line'em up, line'em up

Knock'em back, knock'em back, knock'em back, knock'em back

Fill'em up, fill'em up, fill'em up, fill'em up,

Cause if she ain't ever comin' back



Line'em up, line'em up, line'em up, line'em up

Knock'em back, knock'em back, knock'em back, knock'em back

Fill'em up, fill'em up, fill'em up, fill'em up,

Cause if she ain't ever comin' back



I'ma need some whiskey glasses

Cause I don't wanna see the truth

She's probly makin' out on the couch right now with someone new

Yea I'ma need some whiskey glasses

If I'm gonna make it through

If I'ma be single I'ma need a double shot of that heartbreak proof

And see the world through whiskey glasses

Ohh see the world through whiskey glasses, yeah

See the world through whiskey glasses, yeah","country pop, bro-country, pop, male vocalists, taylor swift, racist, pedocore, bro country",energetic
0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely (with Khalid),,,,,,,,,,,"Thought I found a way
Thought I found a way, yeah (found)
But you never go away (never go away)
So I guess I gotta stay now
Oh, I hope some day I'll make it out of here

Even if it takes all night or a hundred years

Need a place to hide, but I can't find one near

Wanna feel alive, outside I can fight my fear



Isn't it lovely, all alone

Heart made of glass, my mind of stone

Tear me to pieces, skin to bone

Hello, welcome home



Walkin' out of town

Lookin' for a better place (lookin' for a better place)

Something's on my mind

Always in my headspace



But I hope some day I'll make it out of here

Even if it takes all night or a hundred years

Need a place to hide, but I can't find one near

Wanna feel alive, outside I can fight my fear



Isn't it lovely, all alone

Heart made of glass, my mind of stone

Tear me to pieces, skin to bone

Hello, welcome home



Woah, yeah

Yeah, ah

Woah, woah

Hello, welcome home","indie, alternative, 2010s, pop, 13 reasons why, Billie Eilish, alternative pop, 2018, Khalid, indie pop, Soundtrack, electropop, female vocalists, chamber pop, american, Ballad, alt-pop, art pop, 2017, MySpotigramBot, electronic, chill, soul, sad, singer-songwriter, ambient pop, haunting, rnb, collaboration, lovely, teen pop, tv show, piano ballad, Television Music, alternative rnb, Billie, desolation, vapors, my top songs,  alternative,  INDIE,  indie pop,  american,  alternative pop,  2010s, industry plant,  Electropop,  2018, Eilish, Dontsmileatme, gen z, Sad Playlist, All American  1x13, dont smile at me,  Billie Eilish, -1001401538889, -1001819731063",sad
1BYZxKSf0aTxp8ZFoeyM3d,girl in red,we fell in love in october,,,,,,,,,,,"Smoking cigarettes on the roof
You're so pretty and I love this view
We fell in love in October
That's why I love fall
Looking at the stars

Admiring from a far



My girl, my girl, my girl

You will be my girl

My girl, my girl, my girl



You will be my world

My world, my world, my world



You will be my girl



Smoking cigarettes on the roof

You're so pretty and I love this view

Don't bother looking down

We're not going that way

At least I know I am here to say



We fell in love in October

That's why I love fall

Looking at the stars

Admiring from a far



My girl, my girl, my girl



My girl, my girl, my girl

You will be my girl

My girl, my girl, my girl

You will be my girl

My girl, my girl, my girl

You will be my girl

My girl, my girl, my girl



You will be my world

My world, my world, my world



You will be my girl","dream pop, bedroom pop, indie pop, singer-songwriter, jangle pop, tiktok, chillout, indie, female vocalists, Love, Lo-Fi, world, romantic, norwegian, scandinavian, beautiful, nordic, gay, soft, Calming, queer, worldwide, Europe, Norway, nostalgia, perfect, lesbian, autumn, Yay, wedding, Awww, european, Olivia, curiosity, in love, lo-fi pop, relationships, hit song, coming of age, norwegian pop, peak, soft girl, captivation, Olivia and Malik, Olivia is my wife, Im going to marry Olivia, Olivia is my world, olivia is my girl, my darling Oliva",calm
3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD!,,,,,,,,,,,"Yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah

Who am I? Someone that's afraid to let go, uh

You decide if you're ever gonna let me know (yeah)

Suicide if you ever try to let go, uh

I'm sad, I know, yeah, I'm sad, I know, yeah



I gave her everything

She took my heart and left me lonely

I've been broken heart's contagious 

I won't fix, I'd rather weep

I'm lost then I'm found

But it's torture being in love

I love when you're around

But I fuckin' hate when you leave



Who am I? Someone that's afraid to let go, uh

You decide if you're ever gonna let me know (yeah)

Suicide if you ever try to let go, uh

I'm sad, I know, yeah, I'm sad, I know, yeah

Who am I? Someone that's afraid to let go, uh

You decide if you're ever gonna let me know (yeah)

Suicide if you ever try to let go, uh

I'm sad, I know, yeah, I'm sad, I know, yeah

Who am I? Someone that's afraid to let go, uh

You decide if you're ever gonna let me know (yeah)

Suicide if you ever try to let go, uh

I'm sad, I know, yeah, I'm sad, I know, yeah

Who am I? Someone that's afraid to let go, uh

You decide if you're ever gonna let me know (yeah)

Suicide if you ever try to let go, uh

I'm sad, I know, yeah, I'm sad, I know, yeah","Hip-Hop, emo, emo rap, rap, hip hop, cloud rap, trap, MySpotigramBot, rnb, pop rap, Emo Trap, -1001819731063, alternative rnb, post-nerdcore, XXXTENTACION, pop, alternative, sad, new wave, american, fantasy, Horrorcore, exclamations, contemporary rnb, trap rap, us number one, emorap, Akiko Shikata, 2018, my top songs, tiktok,  cloud rap, mumble rap, better than akiko shikata, more talented than akiko shikata, akiko shikata sucks, more authentic than akiko shikata, 2018 single, akiko shikata is ugly, akiko shikata cant sing, akiko shikata has no talent, akiko shikata is just a cringeworthy lisa gerrard ripoff, 2010s rap, seasonal afection disorder,  deppression , bargaining, -1001747063611",sad
3KkXRkHbMCARz0aVfEt68P,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,,,,,,,,,,,Failed to fetch lyrics,"Hip-Hop, pop, MySpotigramBot, rnb, 2010s, 2018, swae lee, rap, -1001819731063, alternative rnb, marvel, Soundtrack, electronic, hip hop, indietronica, Soundtracks, dream pop, synthpop, male vocalist, mistagged, chillwave, pop rap, major key tonality, movie, Film Soundtrack, alt-pop, prominent organ, electric pianos, mild rhythmic syncopation, prominent percussion, use of techno synths, diamond, contemporary rnb, a vocal-centric aesthetic, spider-man, Mallet Percussion, paired vocal harmony, vocal duets, rnb influences, d major, super hero, peace of mind, spider man, post malone, -1001249840520, -1001747063611, -1001190477876, this song is for biel",energetic
0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar (feat. 21 Savage),,,,,,,,,,,"Hahahahaha
Tank God Beats
Ayy, I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (star)
Ayy, ayy, all my brothers got that gas

And they always be smokin' like a Rasta

Fuckin' with me, call up on a Uzi

And show up, man them the shottas

When my homies pull up on your block

They make that thing go grrra-ta-ta-ta (pow, pow, pow)



Ayy, ayy, switch my whip, came back in black

I'm startin' sayin', ""Rest in peace to Bon Scott""

Ayy, close that door, we blowin' smoke

She ask me light a fire like I'm Morrison

Ayy, act a fool on stage

Prolly leave my fuckin' show in a cop car

Ayy, shit was legendary

Threw a TV out the window of the Montage

Cocaine on the table, liquor pourin', don't give a damn

Dude, your girlfriend is a groupie, she just tryna get in

Sayin', ""I'm with the band""

Ayy, ayy, now she actin' outta pocket

Tryna grab up from my pants

Hundred bitches in my trailer say they ain't got a man

And they all brought a friend

Yeah, ayy



Ayy, ayy, I've been fuckin' hoes and poppin' pillies

Man, I feel just like a rockstar (star)

Ayy, ayy, all my brothers got that gas

And they always be smokin' like a Rasta

Fuckin' with me, call up on a Uzi

And show up, man them the shottas

When my homies pull up on your block

They make that thing go grrra-ta-ta-ta (pow, pow, pow)



I've been in the Hills fuckin' superstars

Feelin' like a popstar (21, 21, 21)

Drankin' Henny, bad bitches jumpin' in the pool

And they ain't got on no bra (bra)

Hit her from the back, pullin' on her tracks

And now she screamin' out, ""No más"" (yeah, yeah, yeah)

They like, ""Savage, why you got a 12 car garage

And you only got 6 cars?"" (21)

I ain't with the cakin', how you kiss that? (kiss that?)

Your wifey say I'm lookin' like a whole snack (big snack)

Green hundreds in my safe, I got old racks (old racks)

L.A. bitches always askin', where the coke at?

Livin' like a rockstar, smash out on a cop car

Sweeter than a Pop-Tart, you know you are not hard

I done made the hot chart, 'member I used to trap hard

Livin' like a rockstar, I'm livin' like a rockstar



Ayy, I've been fuckin' hoes and poppin' pillies

Man, I feel just like a rockstar (star)

Ayy, ayy, all my brothers got that gas

And they always be smokin' like a Rasta (yeah, yeah, yeah, yeah)

Fuckin' with me, call up on a Uzi

And show up, man them the shottas

When my homies pull up on your block

They make that thing go grrra-ta-ta-ta (pow, pow, pow)



Star, star, rockstar, rockstar, star

Rockstar

Rockstar, feel just like a rock...

Rockstar

Rockstar

Rockstar

Feel just like a...","trap, rap, Hip-Hop, cloud rap, 2017, MySpotigramBot, pop rap, post malone, 21 savage, hip hop, pop, rnb, 2010s, -1001819731063, amazing, fav, Masterpiece, 10s, obscene, electronica influences, explicit lyrics, clear pronunciation, contemporary rnb, alternative rnb, syncopated beats, a slow moving bass line, Southern Hip Hop, played, southern rap roots, consistent rhyme patterns, boastin lyrics, rnb influences, cash obsessed lyrics, a laid back male vocal, melodic part writing, lyrics with heavy erotic content, the use of chordal patterning, a repetitive chorus, Headnodic Beats, gangsta rap influence, a breathy male vocal, lyrics about alcohol and drugs, g minor, a bumpin kick sound, radiocore, Trap Soul, 21st century in music, S Tier, -1001747063611, -1001686404118",energetic
64agZv9pDgEkQgfvNcBnBP,015B,My Hair Is Green,,,,,,,,,,,Failed to fetch lyrics,"pop, folk, k-pop, Kpop, pov: you dyed your hair",energetic
0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,,,,,,,,,,,"Yeah
Spotlight, uh, moonlight, uh
Nigga, why you trippin'? Get your mood right, uh
Shawty look good in the moonlight
All these pussy niggas so bad mind
Spotlight, moonlight

Nigga, why you trippin'? Get your mood right

Shawty look good in the moonlight

All these pussy niggas so bad mind

Spotlight, uh, moonlight

Nigga, why you trippin'? Get your mood right, uh

Shawty look good in the moonlight

All these pussy niggas so bad mind

Spotlight, moonlight

Nigga, why you trippin'? Get your mood right

Shawty look good in the moonlight

All these pussy niggas so bad mind

Feel like I'm destined

I don't need no Smith & Wesson, no

Girl, who you testin'?

Fuck a Scantron, here's your lesson, oh

Knife in intestine

Takin' shots with all your brethren, no

Feel like I'm damaged

Feelin' like you fuckin' planned it

All alone, call my phone, make me feel right

Girl you know when you call, make me feel right

All alone, call my phone, make me feel right

Girl you know when you call, make me feel right

Spotlight, uh, moonlight, uh

Nigga, why you trippin'? Get your mood right, uh

Shawty look good in the moonlight

All these pussy niggas so bad mind

Spotlight, moonlight

Nigga, why you trippin'? Get your mood right

Shawty look good in the moonlight

All these pussy niggas so bad mind

Spotlight, uh, moonlight

Nigga, why you trippin'? Get your mood right, uh

Shawty look good in the moonlight

All these pussy niggas so bad mind

Spotlight, moonlight

Nigga, why you trippin'? Get your mood right

Shawty look good in the moonlight

All these pussy niggas so bad mind","rap, Hip-Hop, emo, hip hop, emo rap, MySpotigramBot, rnb, cloud rap, post-nerdcore, XXXTENTACION, sad, Lo-Fi, new wave, fip, trap, fantasy, Horrorcore, moon, alternative rnb, emorap, Akiko Shikata, Emo Trap, better than akiko shikata, more talented than akiko shikata, akiko shikata sucks, more authentic than akiko shikata, akiko shikata is ugly, akiko shikata cant sing, akiko shikata has no talent, akiko shikata is just a cringeworthy lisa gerrard ripoff, BART SIMPSON SAD, 21st century in music, -1001747063611, -1001509541800",sad
